,Time [s],Vitesse [m/s],Couple pédale [Nm],I [A]
279,2.79,1.7408626473150357,12.087913921901166,5.564286828041077
280,2.8000000000000003,1.7408636878318866,11.535320963178362,5.108569264411926
281,2.81,1.7406555812563438,11.50078432900565,4.89707624912262
282,2.82,1.7403821588943884,11.535320963178362,5.073320746421814
283,2.83,1.740164084498478,11.120877947126116,5.143818020820618
284,2.84,1.7399069927660447,10.982731410435262,4.806436181068421
285,2.85,1.7395338260938118,10.430141857692174,4.924771666526794
286,2.86,1.7391156081598906,9.87755230494908,4.547105193138123
287,2.87,1.738510633772738,9.359499386378697,4.62263810634613
288,2.88,1.7378533622955035,8.77236979348319,5.244529366493224
289,2.89,1.7372900392232138,8.185243606567383,4.937360644340515
290,2.9,1.736555199201408,7.1146011352539,4.773704886436462
291,2.91,1.7356208089328753,7.0800645010811945,5.106051564216614
292,2.92,1.7347766412795984,7.1146011352539,4.549623370170593
293,2.93,1.7337786088402587,7.0800645010811945,3.957945227622986
294,2.94,1.7326068055622605,7.183674403599337,4.32805860042572
295,2.95,1.7315558014775538,7.0800645010811945,4.051103234291077
296,2.96,1.730411091088753,7.149137769426618,4.323022723197937
297,2.97,1.7293541848873437,6.769231387547084,4.106494307518005
298,2.98,1.7281813675639435,6.527471542358398,3.9277321100234985
299,2.99,1.72692318952423,6.00942032677787,3.3511611223220825
300,3.0,1.7254265392096704,5.422292436872213,3.764076590538025
301,3.0100000000000002,1.7239643100411104,4.904239518301824,4.547105193138123
302,3.02,1.7226521091054623,4.386186599731449,4.056138634681702
303,3.0300000000000002,1.7211259056363741,3.833595343998497,3.3461254835128784
304,3.04,1.7193182267025906,2.6938779013497487,3.6684008836746216
305,3.0500000000000003,1.7174401970368178,2.6938779013497487,3.4418009519577026
306,3.06,1.71549782696834,2.1758249827793663,2.910550117492676
307,3.0700000000000003,1.7133300796095199,2.1067517144339423,2.991119146347046
308,3.08,1.711175948880757,2.2103616169520786,4.06620991230011
309,3.09,1.7093442499563538,2.1412883486066545,3.2680743932724
310,3.1,1.707275037209377,2.1758249827793663,3.086794495582581
311,3.11,1.7051594074135308,2.2103616169520786,2.328943610191345
312,3.12,1.7028326359474109,2.659341267177037,2.658772468566895
313,3.13,1.7006647398418875,2.728414535522461,2.9382456541061406
314,3.14,1.6985870253768758,3.246469157082694,3.0792411565780644
315,3.15,1.69662404836875,3.660910470145092,2.208090305328369
316,3.16,1.6944717976572063,3.833595343998497,2.3440502882003784
317,3.17,1.6923835231193292,3.833595343998497,2.281105875968933
318,3.18,1.6902777119510726,4.351648262568882,2.0242926478385925
319,3.19,1.6881729843798248,4.351648262568882,1.7246771454811098
320,3.2,1.6859831033923829,4.800627912793841,1.873226046562195
321,3.21,1.6839002741583509,5.49136570521763,1.978972673416138
322,3.22,1.6819467813943163,6.527471542358398,1.6491439342498782
323,3.23,1.6800474855728467,7.1146011352539,1.5484327971935274
324,3.24,1.6782036977888792,7.632654053824296,1.7347482442855837
325,3.25,1.6764875456469732,8.219780240740102,1.858119368553162
326,3.2600000000000002,1.6748908853141622,8.77236979348319,1.5031128227710726
327,3.27,1.6732720780458765,8.806906427655909,1.4024017453193667
328,3.2800000000000002,1.6716297768761867,9.324962752205986,1.7876216173172
329,3.29,1.6701718984951113,9.324962752205986,1.603823930025101
330,3.3000000000000003,1.6686618188916056,9.290422712053573,1.3973661661148074
331,3.31,1.6670881406525901,9.324962752205986,1.3142795562744143
332,3.3200000000000003,1.6654959948904076,9.87755230494908,1.8757438063621523
333,3.33,1.6641435500241624,10.464678491864886,2.268517017364502
334,3.34,1.6629874910545202,11.017268044607988,2.1401103734970093
335,3.35,1.6618739335639439,11.535320963178362,3.9554275274276733
336,3.36,1.661353284296606,11.535320963178362,6.317102074623108
337,3.37,1.6615075107533095,10.948194776262557,6.030075669288636
338,3.38,1.6614958214475462,11.086341312953405,6.244086861610413
339,3.39,1.6615650159211104,11.397174426487515,5.944471478462219
340,3.4,1.661592995902607,10.948194776262557,5.823617577552795
341,3.41,1.6615223002523871,10.430141857692174,4.864345192909241
342,3.42,1.6611035343672556,10.395605223519455,4.89707624912262
343,3.43,1.6606892761431356,10.395605223519455,4.844202876091003
344,3.44,1.660260000010626,9.290422712053573,4.927289366722107
345,3.45,1.6596966716472585,8.392463411603655,5.028000473976136
346,3.46,1.65903395869912,7.667190687997,4.720831513404846
347,3.47,1.6581800148116492,6.596548216683524,5.27474319934845
348,3.48,1.6573315654693792,5.767662184579035,4.630191683769226
349,3.49,1.656180728071502,5.525902339390349,4.939878344535828
350,3.5,1.6550840820639736,4.386186599731449,3.968016505241394
351,3.5100000000000002,1.6535471797065542,3.281005791255406,4.015854239463806
352,3.52,1.6518663916367784,3.3155424254281183,4.421216368675233
353,3.5300000000000002,1.6503067152919597,3.281005791255406,4.662922978401184
354,3.54,1.648811498389969,3.142857551574707,3.670918822288513
355,3.5500000000000003,1.6470134366698996,2.659341267177037,3.731345057487488
356,3.56,1.6451639511324845,2.1412883486066545,3.9755698442459106
357,3.5700000000000003,1.6433106328641054,2.1758249827793663,4.119083285331726
358,3.58,1.6415036493805473,2.1412883486066545,3.3234654664993286
359,3.59,1.6394647999260445,1.5886970928737094,3.6104921102523813
360,3.6,1.6374294533723925,1.6232337270464217,3.2605210542678833
361,3.61,1.635299485039031,1.0706441743033275,3.94032084941864
362,3.62,1.633285260275678,1.0706441743033275,3.2856987714767465
363,3.63,1.631084432252505,1.0361075401306152,3.2957698106765747
364,3.64,1.6288820194702267,1.5886970928737094,2.9080322980880737
365,3.65,1.6266482378517682,1.6232337270464217,3.716238856315613
366,3.66,1.6246507848651748,1.6232337270464217,3.532441020011902
367,3.67,1.622601246236706,2.2448982511247872,2.9634233713150024
368,3.68,1.6204783795417554,2.5902679988316124,2.819910168647766
369,3.69,1.618364302510007,2.935636043548584,2.7443768978118896
370,3.7,1.6162784358523432,3.5227639334542413,2.605899214744568
371,3.71,1.6142373265266448,4.386186599731449,2.127521514892578
372,3.72,1.6121833213338836,4.351648262568882,2.3088014125823975
373,3.73,1.6101766164934093,4.904239518301824,1.7297127246856692
374,3.74,1.6080838293582491,5.49136570521763,2.396923542022705
375,3.75,1.606265997509131,6.527471542358398,1.9537948966026308
376,3.7600000000000002,1.6044699621305947,7.1146011352539,2.0419170260429382
377,3.77,1.602783365024179,7.667190687997,1.4275794923305514
378,3.7800000000000002,1.6010005456864744,8.599686622619629,2.281105875968933
379,3.79,1.5995951867674707,9.324962752205986,2.2785881757736206
380,3.8000000000000003,1.598293020529549,9.324962752205986,2.2307503223419194
381,3.81,1.5969774653691262,9.87755230494908,2.1879481077194214
382,3.8200000000000003,1.5957289042738805,10.395605223519455,2.2861413955688477
383,3.83,1.5945826735123365,10.671898296901166,3.086794495582581
384,3.84,1.5937049168393,10.430141857692174,3.5299233198165894
385,3.85,1.5929194198583019,10.430141857692174,5.458540081977845
386,3.86,1.5926851245587028,10.464678491864886,6.173588871955872
387,3.87,1.5926601129244007,10.464678491864886,5.405666947364808
388,3.88,1.5924157003855655,10.395605223519455,5.176549553871155
389,3.89,1.5920960104986555,11.017268044607988,4.985197901725769
390,3.9,1.5918105261905495,10.982731410435262,4.275184988975525
391,3.91,1.5913173084205563,10.464678491864886,4.776222586631775
392,3.92,1.5908933423796197,9.290422712053573,4.944913983345032
393,3.93,1.5903499139047796,8.806906427655909,5.098497986793518
394,3.94,1.589781409267827,8.77236979348319,4.335611701011658
395,3.95,1.5889901251381915,8.806906427655909,5.3603469133377075
396,3.96,1.5884967258635587,8.185243606567383,4.171956181526184
397,3.97,1.5875750831338116,8.254316874912808,4.106494307518005
398,3.98,1.586644802116125,7.1146011352539,4.038514256477357
399,3.99,1.585532481038408,6.00942032677787,5.063249468803406
400,4.0,1.5845552968318042,4.9387761524745395,4.250007271766663
401,4.01,1.5831930179406193,4.351648262568882,4.222311615943909
402,4.0200000000000005,1.5817392425089754,3.108320917401995,4.025925517082214
403,4.03,1.580052050094511,3.246469157082694,4.3154696226119995
404,4.04,1.578467681571384,3.281005791255406,4.179509520530701
405,4.05,1.5768497406172277,3.799058709825788,4.766151785850525
406,4.0600000000000005,1.575473766000306,3.833595343998497,4.068727612495422
407,4.07,1.5739037559904396,3.246469157082694,3.288216471672058
408,4.08,1.5720272040586378,3.8681319781712125,3.409070134162903
409,4.09,1.5702743928374028,3.833595343998497,3.43928325176239
410,4.1,1.5685256557330047,3.7645220756530726,2.900478959083557
411,4.11,1.5666134816646,3.8681319781712125,2.8979612588882446
412,4.12,1.5647157994195138,3.211930819920131,3.5827964544296274
413,4.13,1.5629204479967418,2.6938779013497487,2.986083507537842
414,4.14,1.5608809843189384,2.6938779013497487,3.386410117149353
415,4.15,1.5589563367003836,2.1758249827793663,2.976012349128723
416,4.16,1.556840837441374,2.1412883486066545,2.8778188228607178
417,4.17,1.5546928024055329,1.5886970928737094,2.7393412590026855
418,4.18,1.5524267210367066,1.6577720642089844,3.021332502365113
419,4.19,1.550251562036468,1.5886970928737094,3.1119722127914433
420,4.2,1.5480928983488036,1.6577720642089844,2.4497969150543213
421,4.21,1.5457553721427666,1.6232337270464217,2.882854461669922
422,4.22,1.5435371435146406,2.1758249827793663,2.7141635417938232
423,4.23,1.5413501344235037,2.1412883486066545,2.396923542022705
